file_name                                                              , calc_ens, method                      , num_clusters, t_clustering         , t_create_model    , t_solve             , energy_not_served     , true_operational_cost, investment_cost   , investment_cost_renewables, total_capacity    , renewables_capacity, cost_Battery, capacity_Battery, cost_Coal           , capacity_Coal        , cost_Gas           , capacity_Gas       , cost_Nuclear       , capacity_Nuclear  , cost_OCGT         , capacity_OCGT      , cost_Solar           , capacity_Solar        , cost_Wind_Offshore, capacity_Wind_Offshore, cost_Wind_Onshore  , capacity_Wind_Onshore
ward_k3000_perprofile_NoExtremePreservation_hp0.95_lp0.05              , False   , NoExtremePreservation       ,         3000,    2.9833760261535645, 47.03677582740784 , 1079.2784531116486  ,    40.44449897501924  ,           20587508.92, 145074224.32170114,         137377143.0126616 , 2316.400153061813 ,  2232.1446510475535,          0.0,              0.0,       0.0           , 0.0                  ,  7274693.158356211 ,  76.57571745638117 ,        0.0         ,  0.0              , 422388.1506833184 ,  7.679784557878516 , 34266078.30962822    ,  997.7607660971744    , 21540363.567321725,     179.90388891327356,  81570701.13571167 ,    1054.4799960371054
ward_k1000_perlocation_DynamicProgramming_s672_hp0.95_lp0.05           , False   , DynamicProgramming          ,         1000,  572.7524600028992   , 41.03034996986389 ,  327.3220250606537  ,     0.0               ,           18438298.08, 153428029.34081542,         144647753.90980768, 2224.266506523356 ,  2128.6510344777384,          0.0,              0.0,       0.0           , 0.0                  ,  8363383.112684601 ,  88.03561171246947 ,        0.0         ,  0.0              , 416892.3183231342 ,  7.579860333147895 , 27049111.78854196    ,  787.6169037062057    , 39164203.01792631 ,     327.09719160928563,  78434439.1033394  ,    1013.9369391622471
ward_k5500_demandoveravailabilities_NoExtremePreservation_hp0.95_lp0.05, False   , demandoveravailabilities    ,         5500,    9.116374969482422 , 53.61956715583801 ,  547.4310510158539  ,    15.359329376722094 ,           18184124.83, 146225067.4698781 ,         138921836.4903844 , 2368.481912608461 ,  2288.3550729082917,          0.0,              0.0,       0.0           , 0.0                  ,  6878605.140463024 ,  72.40636989961078 ,        0.0         ,  0.0              , 424625.83903069387,  7.720469800558071 , 36322416.67889528    , 1057.6372926181105    , 20896021.08708308 ,     174.52237723986735,  81703398.72440603 ,    1056.195403050314
ward_k100_perlocation_DynamicProgramming_s672_hp0.95_lp0.05            , False   , DynamicProgramming          ,          100,   88.07599902153015  , 68.86232399940491 ,  423.038635969162   ,     0.0               ,           38887079.97, 174954163.56650883,         126307105.99147421, 1695.7826602243579,  1472.2814384374062,          0.0,              0.0, 1137200.3859759213  , 2.7076199666093363   , 16540026.060029596 , 174.10553747399572 , 30147361.12902911  , 31.734064346346432, 822470.0          , 14.954             ,        0.0           ,    0.0                , 35083257.49889093 ,     293.01336721035744,  91223848.49258329 ,    1179.2680712270487
ward_k1900_perprofile_SeperateExtremesSum_hp0.95_lp0.05                , False   , SeperateExtremesSum         ,         1900,    4.722463130950928 , 67.8032910823822  ,  946.4001169204712  ,    10.925253614110376 ,           17225567.78, 148380933.8356042 ,         140842599.13943347, 2375.928454048698 ,  2296.2746883377304,          0.0,              0.0,  324881.0454271486  , 0.773526298636068    ,  6828221.1472801715,  71.87601207663339 ,        0.0         ,  0.0              , 385232.5034634028 ,  7.004227335698234 , 36483033.08659887    , 1062.3141263237371    , 25160481.96839625 ,     210.1389114858655 ,  79199084.08443835 ,    1023.8216505281277
ward_k3200_perlocation_DynamicProgramming_hp0.95_lp0.05                , False   , DynamicProgramming          ,         3200,  157.9539339542389   , 44.02711510658264 ,  595.7187600135803  ,     9.533667770400392 ,           17707689.16, 147576893.04712453,         139822741.76907492, 2332.7157685021048,  2247.8375445226347,          0.0,              0.0,       0.0           , 0.0                  ,  7328891.278049614 ,  77.14622397946962 ,        0.0         ,  0.0              , 425260.0          ,  7.732000000000001 , 34001123.00481251    ,  990.0457890424427    , 24082734.927666865,     201.13762962328195,  81738883.83659554 ,    1056.6541258569102
ward_k4500_perlocation_DynamicProgramming_hp0.95_lp0.05                , False   , DynamicProgramming          ,         4500,  223.75143122673035  , 51.83934307098389 ,  667.226066827774   ,    11.964969366001752 ,           18041026.01, 146922513.14001513,         139374239.78667352, 2323.925593469211 ,  2241.219467104119 ,          0.0,              0.0,       0.0           , 0.0                  ,  7123661.457746112 ,  74.98591008153802 ,        0.0         ,  0.0              , 424611.8955954849 ,  7.7202162835542705, 33948993.60101302    ,  988.5278833923945    , 24077530.383067384,     201.09416156339785,  81347715.80259311 ,    1051.5974221483264
ward_k6000_global_NoExtremePreservation_hp0.95_lp0.05                  , False   , NoExtremePreservation Global,         6000,    3.7053959369659424, 47.48042821884155 ,  933.9277019500732  ,    61.68417661230045  ,           21294226.96, 145946352.4367698 ,         138967584.30445442, 2365.658711964714 ,  2288.942415835078 ,          0.0,              0.0,       0.0           , 0.0                  ,  6553508.13231539  ,  68.98429612963568 ,        0.0         ,  0.0              , 425260.0          ,  7.732000000000001 , 36312091.49903267    , 1057.3366437000545    , 20860367.15425006 ,     174.22459762478957,  81795125.65117168 ,    1057.381174510234
ward_k7000_perlocation_NoExtremePreservation_hp0.95_lp0.05             , False   , NoExtremePreservation       ,         7000,    3.4616470336914062, 53.62366795539856 , 1046.2371180057526  ,    22.489365650995133 ,           18656879.2 , 146165723.73412043,         138885471.53011316, 2361.497900405323 ,  2281.608413995988 ,          0.0,              0.0,       0.0           , 0.0                  ,  6855034.822297924 ,  72.15826128734659 ,        0.0         ,  0.0              , 425217.38170935103,  7.731225121988201 , 35998878.54924973    , 1048.216498993003     , 21122939.425092615,     176.41758626668172,  81763653.55577081 ,    1056.9743287363035
ward_k7000_perprofile_NoExtremePreservation_hp0.95_lp0.05              , False   , NoExtremePreservation       ,         7000,    3.512514114379883 , 51.82141780853272 , 1160.7062129974363  ,    15.461290723215695 ,           18139948.86, 146270806.56696686,         138904958.49508822, 2362.570847542561 ,  2281.780025733312 ,          0.0,              0.0,       0.0           , 0.0                  ,  6940588.071878625 ,  73.05882180924868 ,        0.0         ,  0.0              , 425260.0          ,  7.732000000000001 , 35961006.682349294   , 1047.1137447591896    , 21006469.787372135,     175.4448384901297 ,  81937482.0253668  ,    1059.2214424839929
ward_k4400_perlocation_DynamicProgramming_hp0.95_lp0.05                , False   , DynamicProgramming          ,         4400,  204.64531993865967  , 49.66156196594238 ,  697.4942328929901  ,    11.954042979585225 ,           18016246.12, 146963501.16322976,         139407897.4848779 , 2325.000666247783 ,  2242.217731336175 ,          0.0,              0.0,       0.0           , 0.0                  ,  7131037.863256779 ,  75.06355645533452 ,        0.0         ,  0.0              , 424565.8150950663 ,  7.719378456273933 , 33975723.18981474    ,  989.3061964155331    , 24049031.33078176 ,     200.8561391028901 ,  81383142.96428142 ,    1052.0553958177516
ward_k1460_utr_NoExtremePreservation_hp0.95_lp0.05                     , False   , UTR                         ,         1460,    0.053696870803833 , 42.85754108428955 ,  412.2910809516907  ,   406.1187200818068   ,           46113176.67, 143579185.5587161 ,         137165127.73372683, 2404.6936827065956,  2333.938547706709 ,          0.0,              0.0,       0.0           , 0.0                  ,  5990997.824989276 ,  63.06313499988711 ,        0.0         ,  0.0              , 423060.0          ,  7.692             , 39821498.36056494    , 1159.5236651347552    , 18351960.54449774 ,     153.27452857605658,  78991668.82866415 ,    1021.1403539958969
ward_k3500_perprofile_NoExtremePreservation_hp0.95_lp0.05              , False   , NoExtremePreservation       ,         3500,    3.2784500122070312, 49.99969696998596 ,  876.0235800743103  ,    24.06077247070222  ,           18863309.34, 146692633.94327804,         139252902.9019085 , 2323.495965305522 ,  2241.9454775934346,          0.0,              0.0,       0.0           , 0.0                  ,  7016828.76586129  ,  73.86135543011885 ,        0.0         ,  0.0              , 422902.27550826606,  7.689132281968474 , 34047793.70802523    ,  991.4047480739093    , 23925648.186373234,     199.82565011248528,  81279461.00751002 ,    1050.71507940704
ward_k500_perlocation_NoExtremePreservation_hp0.95_lp0.05              , False   , NoExtremePreservation       ,          500,    3.065007209777832 , 45.88156318664551 ,  496.5779540538788  ,  1544.862401661383    ,          131073949.4 , 140548921.5897534 ,         134533019.09065756, 2550.6126055308487,  2484.184116875873 ,          0.0,              0.0,       0.0           , 0.0                  ,  5610547.104796311 ,  59.058390576803276,        0.0         ,  0.0              , 405355.3942995113 ,  7.370098078172932 , 49436065.24566055    , 1439.4809317435238    , 12100187.192225497,     101.06007383099238,  72996766.65277153 ,     943.6431113013566
ward_k4000_demandoveravailabilities_NoExtremePreservation_hp0.95_lp0.05, False   , demandoveravailabilities    ,         4000,    5.7048399448394775, 46.47752809524536 ,  595.9195787906647  ,    29.7766108634864   ,           19699370.66, 145798374.44382712,         138543876.78100583, 2379.633411686877 ,  2300.23181422218  ,          0.0,              0.0,       0.0           , 0.0                  ,  6857598.280374564 ,  72.18524505657436 ,        0.0         ,  0.0              , 396899.38244672364,  7.216352408122249 , 37325415.29592534    , 1086.8426384846414    , 20781643.262336247,     173.5671001660573 ,  80436818.22274424 ,    1039.8220755714817
