from_asset,to_asset,carrier,capacity,is_transport
EE_E_Balance,EE_E_Demand,electricity,,
EE_E_Balance,EE_electrolyzer,electricity,,
EE_E_Balance,LV_E_Balance,electricity,1,true
EE_E_ENS,EE_E_Demand,electricity,,
EE_Solar,EE_E_Balance,electricity,,
EE_Wind_Offshore,EE_E_Balance,electricity,,
EE_Wind_Onshore,EE_E_Balance,electricity,,
EE_electrolyzer,EE_H_Demand,hydrogen,,
ES_Battery,ES_E_Balance,electricity,,
ES_E_Balance,ES_Battery,electricity,,
ES_E_Balance,ES_E_Demand,electricity,,
ES_E_Balance,ES_Pump_Hydro_Closed,electricity,,
ES_E_Balance,ES_Pump_Hydro_Open,electricity,,
ES_E_Balance,ES_electrolyzer,electricity,,
ES_E_Balance,FR_E_Balance,electricity,1,true
ES_E_ENS,ES_E_Demand,electricity,,
ES_Gas,ES_E_Balance,electricity,,
ES_Hydro,ES_E_Balance,electricity,,
ES_Hydro_Reservoir,ES_E_Balance,electricity,,
ES_Nuclear,ES_E_Balance,electricity,,
ES_Pump_Hydro_Closed,ES_E_Balance,electricity,,
ES_Pump_Hydro_Open,ES_E_Balance,electricity,,
ES_Solar,ES_E_Balance,electricity,,
ES_Wind_Offshore,ES_E_Balance,electricity,,
ES_Wind_Onshore,ES_E_Balance,electricity,,
ES_electrolyzer,ES_H_Demand,hydrogen,,
EU_SMR_CCS,AT_H_Demand,hydrogen,,
EU_SMR_CCS,BE_H_Demand,hydrogen,,
EU_SMR_CCS,BG_H_Demand,hydrogen,,
EU_SMR_CCS,CH_H_Demand,hydrogen,,
EU_SMR_CCS,CY_H_Demand,hydrogen,,
EU_SMR_CCS,CZ_H_Demand,hydrogen,,
EU_SMR_CCS,DE_H_Demand,hydrogen,,
EU_SMR_CCS,DK_H_Demand,hydrogen,,
EU_SMR_CCS,EE_H_Demand,hydrogen,,
EU_SMR_CCS,ES_H_Demand,hydrogen,,
EU_SMR_CCS,FI_H_Demand,hydrogen,,
EU_SMR_CCS,FR_H_Demand,hydrogen,,
EU_SMR_CCS,GR_H_Demand,hydrogen,,
EU_SMR_CCS,HR_H_Demand,hydrogen,,
EU_SMR_CCS,HU_H_Demand,hydrogen,,
EU_SMR_CCS,IE_H_Demand,hydrogen,,
EU_SMR_CCS,IT_H_Demand,hydrogen,,
EU_SMR_CCS,LT_H_Demand,hydrogen,,
EU_SMR_CCS,LU_H_Demand,hydrogen,,
EU_SMR_CCS,LV_H_Demand,hydrogen,,
EU_SMR_CCS,MT_H_Demand,hydrogen,,
EU_SMR_CCS,NL_H_Demand,hydrogen,,
EU_SMR_CCS,NO_H_Demand,hydrogen,,
EU_SMR_CCS,OBZLL_H_Demand,hydrogen,,
EU_SMR_CCS,PL_H_Demand,hydrogen,,
EU_SMR_CCS,PT_H_Demand,hydrogen,,
EU_SMR_CCS,RO_H_Demand,hydrogen,,
EU_SMR_CCS,SE_H_Demand,hydrogen,,
EU_SMR_CCS,SI_H_Demand,hydrogen,,
EU_SMR_CCS,SK_H_Demand,hydrogen,,
EU_SMR_CCS,UK_H_Demand,hydrogen,,
FI_Battery,FI_E_Balance,electricity,,
FI_E_Balance,EE_E_Balance,electricity,1,true
FI_E_Balance,FI_Battery,electricity,,
FI_E_Balance,FI_E_Demand,electricity,,
FI_E_Balance,FI_electrolyzer,electricity,,
