method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
SeperateExtremesSum,1200,ward_k1200_perlocation_SeperateExtremesSum_hp0.95_lp0.05_lowvar,false,8.830474853515625,22.112449884414673,101.71865606307983,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
SeperateExtremesSum,1200,ens_ward_k1200_perlocation_SeperateExtremesSum_hp0.95_lp0.05_lowvar,true,0.0,74.2564651966095,79.43380212783813,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,28793.087978836185
SeperateExtremesSum,1200,ward_k1200_perlocation_SeperateExtremesSum_hp0.95_lp0.05_lowvar,false,5.816600799560547,20.427239894866943,95.45568799972534,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
SeperateExtremesSum,1200,ens_ward_k1200_perlocation_SeperateExtremesSum_hp0.95_lp0.05_lowvar,true,0.0,64.68090605735779,73.4476990699768,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.008757143410906276
