method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
Afterwards,3000,ward_k3000_perlocation_Afterwards_hp0.95_lp0.05_highvar,false,8.626791000366211,37.242531061172485,345.5596160888672,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
Afterwards,3000,ens_ward_k3000_perlocation_Afterwards_hp0.95_lp0.05_highvar,true,0.0,76.56171298027039,91.46232199668884,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
Afterwards,3000,ward_k3000_perlocation_Afterwards_hp0.95_lp0.05_highvar,false,5.180922985076904,27.250355005264282,255.52790594100952,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
Afterwards,3000,ens_ward_k3000_perlocation_Afterwards_hp0.95_lp0.05_highvar,true,0.0,52.169188022613525,56.72047996520996,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,888.9160190259886
