method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
Afterwards,2000,ward_k2000_perprofile_Afterwards_hp0.95_lp0.05_highvar,false,6.243679046630859,51.87005305290222,636.6969780921936,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
Afterwards,2000,ens_ward_k2000_perprofile_Afterwards_hp0.95_lp0.05_highvar,true,0.0,82.50265288352966,89.72743797302246,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
Afterwards,2000,ward_k2000_perprofile_Afterwards_hp0.95_lp0.05_highvar,false,6.165831089019775,51.57717180252075,688.8107719421387,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
Afterwards,2000,ens_ward_k2000_perprofile_Afterwards_hp0.95_lp0.05_highvar,true,0.0,86.69444417953491,85.51663899421692,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,889.0956331643366
