method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
Afterwards,1000,ward_k1000_perprofile_Afterwards_hp0.95_lp0.05_lowvar,false,5.042722940444946,27.97677206993103,256.78873205184937,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
Afterwards,1000,ens_ward_k1000_perprofile_Afterwards_hp0.95_lp0.05_lowvar,true,0.0,53.47246813774109,53.16487908363342,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,30703.369232759615
Afterwards,1000,ward_k1000_perprofile_Afterwards_hp0.95_lp0.05_lowvar,false,7.632355213165283,25.169307947158813,281.0744731426239,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
Afterwards,1000,ens_ward_k1000_perprofile_Afterwards_hp0.95_lp0.05_lowvar,true,0.0,54.18635296821594,58.47738313674927,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
