method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
NoExtremePreservation,6000,ward_k6000_perlocation_NoExtremePreservation_hp0.95_lp0.05_highvar,false,6.552583932876587,64.8172779083252,1049.6183469295502,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,6000,ens_ward_k6000_perlocation_NoExtremePreservation_hp0.95_lp0.05_highvar,true,0.0,85.95979905128479,104.4131121635437,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,6000,ward_k6000_perlocation_NoExtremePreservation_hp0.95_lp0.05_highvar,false,5.8659679889678955,42.97392416000366,815.6851789951324,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,6000,ens_ward_k6000_perlocation_NoExtremePreservation_hp0.95_lp0.05_highvar,true,0.0,59.41462588310242,66.11488890647888,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,908.6769586432671
