method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
SeperateExtremesSum,2000,ward_k2000_perprofile_SeperateExtremesSum_hp0.95_lp0.05_basedataset,false,8.680161952972412,48.53998279571533,612.487664937973,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
SeperateExtremesSum,2000,ens_ward_k2000_perprofile_SeperateExtremesSum_hp0.95_lp0.05_basedataset,true,0.0,77.20116400718689,79.7269549369812,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,7.876623266419514
