method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
SeperateExtremesSum,1000,ward_k1000_perlocation_SeperateExtremesSum_hp0.95_lp0.05_highvar,false,6.449035882949829,24.319477081298828,57.67318391799927,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
SeperateExtremesSum,1000,ens_ward_k1000_perlocation_SeperateExtremesSum_hp0.95_lp0.05_highvar,true,0.0,81.54024505615234,90.13032007217407,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
SeperateExtremesSum,1000,ward_k1000_perlocation_SeperateExtremesSum_hp0.95_lp0.05_highvar,false,6.409446954727173,22.062623023986816,57.578815937042236,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
SeperateExtremesSum,1000,ens_ward_k1000_perlocation_SeperateExtremesSum_hp0.95_lp0.05_highvar,true,0.0,79.4410810470581,73.36181592941284,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,836.3006616216422
