method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
SeperateExtremesSum,1700,ward_k1700_perlocation_SeperateExtremesSum_hp0.95_lp0.05,false,3.8160600662231445,45.97418999671936,496.27669382095337,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
SeperateExtremesSum,1700,ens_ward_k1700_perlocation_SeperateExtremesSum_hp0.95_lp0.05,true,0.0,52.63540816307068,58.18316602706909,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,113.31699380566437
