method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
NoExtremePreservation,7000,ward_k7000_global_NoExtremePreservation_hp0.95_lp0.05_lowvar,false,8.743021965026855,68.71115303039551,1049.7829630374908,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,7000,ens_ward_k7000_global_NoExtremePreservation_hp0.95_lp0.05_lowvar,true,0.0,82.77371907234192,80.92376804351807,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0021318859153539593
