method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
NoExtremePreservation,500,ward_k500_demandoveravailabilities_NoExtremePreservation_hp0.95_lp0.05,false,3.8210599422454834,47.96362900733948,815.3472549915314,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,500,ens_ward_k500_demandoveravailabilities_NoExtremePreservation_hp0.95_lp0.05,true,0.0,66.32727813720703,71.03951001167297,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,934.8630713307507
