method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
NoExtremePreservation,1000,ward_k1000_perprofile_NoExtremePreservation_hp0.95_lp0.05_highvar,false,5.115978956222534,35.875186920166016,427.32351303100586,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,1000,ens_ward_k1000_perprofile_NoExtremePreservation_hp0.95_lp0.05_highvar,true,0.0,79.09027981758118,94.39696907997131,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,1000,ward_k1000_perprofile_NoExtremePreservation_hp0.95_lp0.05_highvar,false,6.333101987838745,35.124955892562866,477.84580397605896,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,1000,ens_ward_k1000_perprofile_NoExtremePreservation_hp0.95_lp0.05_highvar,true,0.0,77.36968684196472,85.84161591529846,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,873.176480230109
