method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
DynamicProgramming,4000,ward_k4000_perlocation_DynamicProgramming_s168_hp0.95_lp0.05_highvar,false,260.88044118881226,47.57325792312622,590.390625,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
DynamicProgramming,4000,ens_ward_k4000_perlocation_DynamicProgramming_s168_hp0.95_lp0.05_highvar,true,0.0,87.54329299926758,97.74260807037354,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
DynamicProgramming,4000,ward_k4000_perlocation_DynamicProgramming_s168_hp0.95_lp0.05_highvar,false,429.5066249370575,51.87772297859192,713.1369450092316,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
DynamicProgramming,4000,ens_ward_k4000_perlocation_DynamicProgramming_s168_hp0.95_lp0.05_highvar,true,0.0,91.91538500785828,98.17767214775085,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,876.3914338273462
