method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
NoExtremePreservation,3000,ward_k3000_perlocation_NoExtremePreservation_hp0.95_lp0.05_lowvar,false,6.159652948379517,39.97112822532654,446.0183570384979,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,3000,ens_ward_k3000_perlocation_NoExtremePreservation_hp0.95_lp0.05_lowvar,true,0.0,89.34261512756348,84.3592381477356,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,27892.27220787049
NoExtremePreservation,3000,ward_k3000_perlocation_NoExtremePreservation_hp0.95_lp0.05_lowvar,false,6.2420289516448975,38.413511991500854,380.03116106987,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,3000,ens_ward_k3000_perlocation_NoExtremePreservation_hp0.95_lp0.05_lowvar,true,0.0,77.36445116996765,92.49621891975403,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.07749092244220318
