method,num_clusters,file_name,calc_ens,t_clustering,t_create_model,t_solve,investment_cost_assets,investment_cost_storage_energy_assets,annualized_cost_assets,salvage_value_assets,investment_cost_flows,operational_cost_flows,fuel_cost_flows,total_variable_cost_flows,annualized_cost_flows,salvage_value_flows,energy_not_served
NoExtremePreservation,8000,ward_k8000_perprofile_NoExtremePreservation_hp0.95_lp0.05_highvar,false,5.733144998550415,78.43058109283447,979.4104070663452,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,8000,ens_ward_k8000_perprofile_NoExtremePreservation_hp0.95_lp0.05_highvar,true,0.0,77.43599700927734,97.52516102790833,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,8000,ward_k8000_perprofile_NoExtremePreservation_hp0.95_lp0.05_highvar,false,6.180122137069702,50.61808514595032,691.0821399688721,2.3962740530344997e7,0.0,2.3962740530344997e7,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,0.0
NoExtremePreservation,8000,ens_ward_k8000_perprofile_NoExtremePreservation_hp0.95_lp0.05_highvar,true,0.0,56.25605297088623,63.25374698638916,,0.0,,0.0,0.0,2.072431553662e6,0.0,2.072431553662e6,0.0,0.0,1024.4862999475638
